subject_race,subject_sex,outcome,year,month,count
black,female,warning,2015,12,352
black,female,warning,2016,1,490
black,female,warning,2016,2,394
black,female,warning,2016,3,398
black,female,warning,2016,4,306
black,female,warning,2016,5,313
black,female,warning,2016,6,278
black,female,warning,2016,7,230
black,female,warning,2016,8,306
black,female,warning,2016,9,324
black,female,warning,2016,10,280
black,female,warning,2016,11,248
black,female,warning,2016,12,236
black,female,warning,2017,1,316
black,female,warning,2017,2,242
black,female,warning,2017,3,519
black,female,warning,2017,4,438
black,female,warning,2017,5,375
black,female,warning,2017,6,382
black,female,warning,2017,7,439
black,female,warning,2017,8,486
black,female,warning,2017,9,512
black,female,warning,2017,10,395
black,female,warning,2017,11,434
black,female,warning,2017,12,366
black,female,warning,2018,1,447
black,female,warning,2018,2,309
black,female,warning,2018,3,467
black,female,warning,2018,4,440
black,female,warning,2018,5,500
black,female,warning,2018,6,489
black,female,warning,2018,7,334
black,male,arrest,2011,2,18
black,male,arrest,2011,5,461
black,male,arrest,2011,6,627
black,male,arrest,2011,7,582
black,male,arrest,2011,8,674
black,male,arrest,2011,9,527
black,male,arrest,2011,10,582
black,male,arrest,2011,11,557
black,male,arrest,2011,12,524
black,male,arrest,2012,1,533
black,male,arrest,2012,2,568
black,male,arrest,2012,3,892
black,male,arrest,2012,4,667
black,male,arrest,2012,5,632
black,male,arrest,2012,6,757
black,male,arrest,2012,7,569
black,male,arrest,2012,8,564
black,male,arrest,2012,9,430
black,male,arrest,2012,10,466
black,male,arrest,2012,11,438
black,male,arrest,2012,12,496
black,male,arrest,2013,1,499
black,male,arrest,2013,2,320
black,male,arrest,2013,3,517
black,male,arrest,2013,4,428
black,male,arrest,2013,5,497
black,male,arrest,2013,6,604
black,male,arrest,2013,7,758
black,male,arrest,2013,8,705
black,male,arrest,2013,9,620
black,male,arrest,2013,10,650
black,male,arrest,2013,11,577
black,male,arrest,2013,12,542
black,male,arrest,2014,1,457
black,male,arrest,2014,2,445
black,male,arrest,2014,3,377
black,male,arrest,2014,4,524
black,male,arrest,2014,5,541
black,male,arrest,2014,6,638
black,male,arrest,2014,7,626
black,male,arrest,2014,8,625
black,male,arrest,2014,9,676
black,male,arrest,2014,10,783
black,male,arrest,2014,11,608
black,male,arrest,2014,12,631
black,male,arrest,2015,1,703
black,male,arrest,2015,2,554
black,male,arrest,2015,3,682
black,male,arrest,2015,4,626
black,male,arrest,2015,5,668
black,male,arrest,2015,6,702
black,male,arrest,2015,7,671
black,male,arrest,2015,8,686
black,male,arrest,2015,9,725
black,male,arrest,2015,10,699
black,male,arrest,2015,11,588
black,male,arrest,2015,12,491
black,male,arrest,2016,1,568
black,male,arrest,2016,2,515
black,male,arrest,2016,3,633
black,male,arrest,2016,4,571
black,male,arrest,2016,5,611
black,male,arrest,2016,6,535
black,male,arrest,2016,7,420
black,male,arrest,2016,8,476
black,male,arrest,2016,9,502
black,male,arrest,2016,10,573
black,male,arrest,2016,11,528
black,male,arrest,2016,12,567
black,male,arrest,2017,1,703
black,male,arrest,2017,2,611
black,male,arrest,2017,3,720
black,male,arrest,2017,4,684
black,male,arrest,2017,5,621
black,male,arrest,2017,6,691
black,male,arrest,2017,7,946
black,male,arrest,2017,8,852
black,male,arrest,2017,9,815
black,male,arrest,2017,10,647
black,male,arrest,2017,11,655
black,male,arrest,2017,12,633
black,male,arrest,2018,1,643
black,male,arrest,2018,2,525
black,male,arrest,2018,3,542
black,male,arrest,2018,4,547
black,male,arrest,2018,5,656
black,male,arrest,2018,6,610
black,male,arrest,2018,7,320
black,male,citation,2011,5,529
black,male,citation,2011,6,624
black,male,citation,2011,7,661
black,male,citation,2011,8,867
black,male,citation,2011,9,741
black,male,citation,2011,10,623
black,male,citation,2011,11,633
black,male,citation,2011,12,649
black,male,citation,2012,1,636
black,male,citation,2012,2,600
black,male,citation,2012,3,1004
black,male,citation,2012,4,719
black,male,citation,2012,5,823
black,male,citation,2012,6,784
black,male,citation,2012,7,728
black,male,citation,2012,8,511
black,male,citation,2012,9,328
black,male,citation,2012,10,300
black,male,citation,2012,11,305
black,male,citation,2012,12,439
black,male,citation,2013,1,337
black,male,citation,2013,2,231
black,male,citation,2013,3,366
black,male,citation,2013,4,348
black,male,citation,2013,5,385
black,male,citation,2013,6,395
black,male,citation,2013,7,543
black,male,citation,2013,8,526
black,male,citation,2013,9,448
black,male,citation,2013,10,498
black,male,citation,2013,11,623
black,male,citation,2013,12,462
black,male,citation,2014,1,345
black,male,citation,2014,2,317
black,male,citation,2014,3,378
black,male,citation,2014,4,358
black,male,citation,2014,5,404
black,male,citation,2014,6,480
black,male,citation,2014,7,601
black,male,citation,2014,8,888
black,male,citation,2014,9,836
black,male,citation,2014,10,548
black,male,citation,2014,11,523
black,male,citation,2014,12,574
black,male,citation,2015,1,668
black,male,citation,2015,2,444
black,male,citation,2015,3,661
black,male,citation,2015,4,732
black,male,citation,2015,5,547
black,male,citation,2015,6,640
black,male,citation,2015,7,758
black,male,citation,2015,8,915
black,male,citation,2015,9,899
black,male,citation,2015,10,753
black,male,citation,2015,11,485
black,male,citation,2015,12,374
black,male,citation,2016,1,485
black,male,citation,2016,2,468
black,male,citation,2016,3,521
black,male,citation,2016,4,445
black,male,citation,2016,5,479
black,male,citation,2016,6,411
black,male,citation,2016,7,345
black,male,citation,2016,8,503
black,male,citation,2016,9,518
black,male,citation,2016,10,298
black,male,citation,2016,11,270
black,male,citation,2016,12,387
black,male,citation,2017,1,686
black,male,citation,2017,2,490
black,male,citation,2017,3,465
black,male,citation,2017,4,454
black,male,citation,2017,5,449
black,male,citation,2017,6,397
black,male,citation,2017,7,703
black,male,citation,2017,8,653
black,male,citation,2017,9,513
black,male,citation,2017,10,344
black,male,citation,2017,11,322
black,male,citation,2017,12,290
black,male,citation,2018,1,432
black,male,citation,2018,2,326
black,male,citation,2018,3,529
black,male,citation,2018,4,381
black,male,citation,2018,5,647
black,male,citation,2018,6,687
black,male,citation,2018,7,304
black,male,warning,2011,1,2
black,male,warning,2011,4,1
black,male,warning,2011,5,892
black,male,warning,2011,6,883
black,male,warning,2011,7,865
black,male,warning,2011,8,1140
black,male,warning,2011,9,916
black,male,warning,2011,10,887
black,male,warning,2011,11,907
black,male,warning,2011,12,925
black,male,warning,2012,1,833
black,male,warning,2012,2,879
black,male,warning,2012,3,1246
black,male,warning,2012,4,855
black,male,warning,2012,5,764
black,male,warning,2012,6,751
black,male,warning,2012,7,687
black,male,warning,2012,8,646
black,male,warning,2012,9,408
black,male,warning,2012,10,483
black,male,warning,2012,11,323
black,male,warning,2012,12,346
black,male,warning,2013,1,279
black,male,warning,2013,2,159
black,male,warning,2013,3,333
black,male,warning,2013,4,309
black,male,warning,2013,5,250
black,male,warning,2013,6,306
black,male,warning,2013,7,364
black,male,warning,2013,8,363
black,male,warning,2013,9,312
black,male,warning,2013,10,316
black,male,warning,2013,11,358
black,male,warning,2013,12,319
black,male,warning,2014,1,321
black,male,warning,2014,2,230
black,male,warning,2014,3,221
black,male,warning,2014,4,331
black,male,warning,2014,5,378
