subject_race,subject_sex,outcome,year,month,reason_for_stop,count
asian,female,warning,2016,10,CALL FOR S,1
asian,female,warning,2016,10,TRAFFIC VI,14
asian,female,warning,2016,11,TRAFFIC VI,3
asian,female,warning,2016,12,CALL FOR S,1
asian,female,warning,2016,12,SUSPECT PE,1
asian,female,warning,2016,12,TRAFFIC VI,3
asian,female,warning,2017,1,TRAFFIC VI,6
asian,female,warning,2017,2,TRAFFIC VI,1
asian,female,warning,2017,3,TRAFFIC VI,7
asian,female,warning,2017,4,TRAFFIC VI,7
asian,female,warning,2017,5,TRAFFIC VI,8
asian,female,warning,2017,6,TRAFFIC VI,1
asian,female,warning,2017,7,TRAFFIC VI,4
asian,female,warning,2017,8,TRAFFIC VI,7
asian,female,warning,2017,9,TRAFFIC VI,7
asian,female,warning,2017,10,TRAFFIC VI,7
asian,female,warning,2017,12,TRAFFIC VI,7
asian,female,warning,2018,1,CALL FOR S,1
asian,female,warning,2018,1,TRAFFIC VI,6
asian,female,warning,2018,2,CALL FOR S,1
asian,female,warning,2018,2,TRAFFIC VI,5
asian,female,warning,2018,3,TRAFFIC VI,3
asian,female,warning,2018,4,TRAFFIC VI,3
asian,female,warning,2018,5,TRAFFIC VI,7
asian,female,warning,2018,6,TRAFFIC VI,4
asian,female,warning,2018,7,TRAFFIC VI,2
asian,male,arrest,2011,5,CALL FOR S,1
asian,male,arrest,2011,5,SUSPECT PE,2
asian,male,arrest,2011,5,TRAFFIC VI,1
asian,male,arrest,2011,8,CALL FOR S,1
asian,male,arrest,2011,8,CRIMINAL V,2
asian,male,arrest,2011,8,TRAFFIC VI,2
asian,male,arrest,2011,9,CRIMINAL V,1
asian,male,arrest,2011,9,SUSPECT PE,1
asian,male,arrest,2011,9,TRAFFIC VI,1
asian,male,arrest,2011,10,SUSPECT PE,1
asian,male,arrest,2011,10,TRAFFIC VI,1
asian,male,arrest,2011,11,CRIMINAL V,2
asian,male,arrest,2011,12,CALL FOR S,1
asian,male,arrest,2011,12,OTHER,1
asian,male,arrest,2012,1,CRIMINAL V,1
asian,male,arrest,2012,2,CALL FOR S,1
asian,male,arrest,2012,2,CRIMINAL V,1
asian,male,arrest,2012,2,TRAFFIC VI,4
asian,male,arrest,2012,3,FLAGGED DO,1
asian,male,arrest,2012,3,SUSPECT PE,1
asian,male,arrest,2012,4,CALL FOR S,1
asian,male,arrest,2012,4,CRIMINAL V,2
asian,male,arrest,2012,4,TRAFFIC VI,3
asian,male,arrest,2012,6,SUSPECT PE,1
asian,male,arrest,2012,8,OTHER,1
asian,male,arrest,2012,8,TRAFFIC VI,1
asian,male,arrest,2012,9,TRAFFIC VI,1
asian,male,arrest,2012,10,TRAFFIC VI,1
asian,male,arrest,2012,11,CALL FOR S,2
asian,male,arrest,2012,11,TRAFFIC VI,1
asian,male,arrest,2012,12,CALL FOR S,3
asian,male,arrest,2012,12,TRAFFIC VI,3
asian,male,arrest,2013,3,FLAGGED DO,1
asian,male,arrest,2013,3,TRAFFIC VI,3
asian,male,arrest,2013,5,CALL FOR S,1
asian,male,arrest,2013,5,TRAFFIC VI,1
asian,male,arrest,2013,6,CALL FOR S,1
asian,male,arrest,2013,6,TRAFFIC VI,1
asian,male,arrest,2013,7,OTHER,2
asian,male,arrest,2013,7,TRAFFIC VI,1
asian,male,arrest,2013,8,CRIMINAL V,1
asian,male,arrest,2013,8,TRAFFIC VI,1
asian,male,arrest,2013,10,TRAFFIC VI,1
asian,male,arrest,2013,11,CALL FOR S,2
asian,male,arrest,2013,12,CALL FOR S,1
asian,male,arrest,2013,12,CRIMINAL V,1
asian,male,arrest,2013,12,TRAFFIC VI,2
asian,male,arrest,2014,1,CALL FOR S,1
asian,male,arrest,2014,1,CRIMINAL V,4
asian,male,arrest,2014,1,TRAFFIC VI,4
asian,male,arrest,2014,2,TRAFFIC VI,2
asian,male,arrest,2014,3,CALL FOR S,5
asian,male,arrest,2014,4,CALL FOR S,1
asian,male,arrest,2014,4,CRIMINAL V,2
asian,male,arrest,2014,4,TRAFFIC VI,1
asian,male,arrest,2014,5,CALL FOR S,1
asian,male,arrest,2014,5,CRIMINAL V,1
asian,male,arrest,2014,5,TRAFFIC VI,3
asian,male,arrest,2014,6,TRAFFIC VI,1
asian,male,arrest,2014,7,CRIMINAL V,2
asian,male,arrest,2014,8,CALL FOR S,1
asian,male,arrest,2014,9,CRIMINAL V,1
asian,male,arrest,2014,9,TRAFFIC VI,3
asian,male,arrest,2014,10,CALL FOR S,2
asian,male,arrest,2014,11,CALL FOR S,1
asian,male,arrest,2014,11,CRIMINAL V,1
asian,male,arrest,2014,11,TRAFFIC VI,2
asian,male,arrest,2014,12,CALL FOR S,1
asian,male,arrest,2014,12,CRIMINAL V,1
asian,male,arrest,2014,12,SUSPECT PE,3
asian,male,arrest,2014,12,TRAFFIC VI,1
asian,male,arrest,2015,1,CALL FOR S,2
asian,male,arrest,2015,1,SUSPECT PE,1
asian,male,arrest,2015,2,CALL FOR S,2
asian,male,arrest,2015,2,CRIMINAL V,2
asian,male,arrest,2015,2,TRAFFIC VI,2
asian,male,arrest,2015,3,CALL FOR S,1
asian,male,arrest,2015,3,TRAFFIC VI,2
asian,male,arrest,2015,4,CALL FOR S,1
asian,male,arrest,2015,4,TRAFFIC VI,2
asian,male,arrest,2015,5,CRIMINAL V,1
asian,male,arrest,2015,5,TRAFFIC VI,4
asian,male,arrest,2015,6,CALL FOR S,1
asian,male,arrest,2015,7,CALL FOR S,2
asian,male,arrest,2015,7,OTHER,1
asian,male,arrest,2015,8,CALL FOR S,4
asian,male,arrest,2015,8,TRAFFIC VI,1
asian,male,arrest,2015,10,TRAFFIC VI,1
asian,male,arrest,2015,11,CALL FOR S,2
asian,male,arrest,2015,11,SUSPECT PE,1
asian,male,arrest,2015,11,TRAFFIC VI,1
asian,male,arrest,2015,12,SUSPECT PE,2
asian,male,arrest,2016,1,CALL FOR S,2
asian,male,arrest,2016,1,SUSPECT PE,1
asian,male,arrest,2016,1,TRAFFIC VI,1
asian,male,arrest,2016,2,CRIMINAL V,3
asian,male,arrest,2016,3,CALL FOR S,1
asian,male,arrest,2016,4,CALL FOR S,1
asian,male,arrest,2016,4,CRIMINAL V,1
asian,male,arrest,2016,4,OTHER,1
asian,male,arrest,2016,4,SUSPECT PE,1
asian,male,arrest,2016,4,TRAFFIC VI,1
