dbn,csd,BoroughL,Borough,school,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,num_female,perc_female,num_mal,perc_male,num_asian,perc_asian,num_black,perc_black,num_hisp,perc_hisp,num_other,perc_other,num_white,perc_white,num_swd,perc_swd,num_ell,perc_ell,num_poverty,perc_poverty,prop_white,prop_black,prop_hisp,prop_asian,prop_other,h_score,high_school,middle_school,elem_school,pre_sch,csd_total_white,csd_total_black,csd_total_hisp,csd_total_other,csd_total_asian,csd_enr_total,csd_prop_white,csd_prop_black,csd_prop_hisp,csd_prop_asian,csd_prop_other,csd_h_score,total_ever_homeless,total_num_students,perc_ever_homeless,sch_diversity
84M168,84,M,Manhattan,East Harlem Scholars Academy Charter School II,2017-18,398,54,57,59,58,60,57,53,0,0,0,0,0,0,0,211,53,187,47,12,3,137,34.4,242,60.8,6,1.5,1,0.3,72,18.1,49,12.3,352,88.4,0.002512563,0.344221106,0.608040201,0.030150754,0.015075377,0.853462676,0,0,1,1,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M170,84,M,Manhattan,Success Academy Hell's Kitchen (Manhattan 2),2017-18,483,0,90,95,102,97,94,5,0,0,0,0,0,0,0,236,48.9,247,51.1,76,15.7,97,20.1,217,44.9,13,2.7,80,16.6,74,15.3,28,5.8,268,55.5,0.16563147,0.200828157,0.449275362,0.157349897,0.026915114,1.367952685,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84M174,84,M,Manhattan,Success Academy Union Square (Manhattan 1),2017-18,619,0,79,90,115,110,104,86,35,0,0,0,0,0,0,311,50.2,308,49.8,115,18.6,137,22.1,160,25.8,33,5.3,174,28.1,112,18.1,19,3.1,242,39.1,0.281098546,0.221324717,0.258481422,0.185783522,0.053311793,1.509215509,0,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84M186,84,M,Manhattan,Harlem Hebrew Language Charter School,2017-18,387,0,46,69,68,82,76,46,0,0,0,0,0,0,0,179,46.3,208,53.7,4,1,134,34.6,115,29.7,6,1.6,128,33.1,85,22,43,11.1,215,55.6,0.330749354,0.34625323,0.297157623,0.010335917,0.015503876,1.205625375,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84M202,84,M,Manhattan,Great Oaks Charter School,2017-18,215,0,0,0,0,0,0,0,81,63,71,0,0,0,0,100,46.5,115,53.5,18,8.4,55,25.6,133,61.9,3,1.4,6,2.8,64,29.8,9,4.2,149,69.3,0.027906977,0.255813954,0.618604651,0.08372093,0.013953488,1.012996891,0,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M204,84,M,Manhattan,Capital Preparatory (CP) Harlem Charter School,2017-18,233,0,0,0,0,0,0,0,76,75,82,0,0,0,0,109,46.8,124,53.2,1,0.4,168,72.1,61,26.2,3,1.3,0,0,51,21.9,4,1.7,142,60.9,0,0.721030043,0.261802575,0.004291846,0.012875537,0.666123899,0,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84M263,84,M,Manhattan,New York City Charter School of the Arts,2017-18,171,0,0,0,0,0,0,0,68,103,0,0,0,0,0,107,62.6,64,37.4,6,3.5,61,35.7,73,42.7,8,4.7,23,13.5,33,19.3,1,0.6,78,45.6,0.134502924,0.356725146,0.426900585,0.035087719,0.046783626,1.261726124,0,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,1
84M265,84,M,Manhattan,Success Academy Charter School - Washington Height,2017-18,517,0,95,92,99,145,86,0,0,0,0,0,0,0,0,268,51.8,249,48.2,9,1.7,77,14.9,400,77.4,6,1.2,25,4.8,93,18,59,11.4,348,67.3,0.048355899,0.14893617,0.773694391,0.017408124,0.011605416,0.750835312,0,0,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
84M279,84,M,Manhattan,The Opportunity Charter School,2017-18,426,0,0,0,0,0,0,0,57,72,71,67,58,53,48,177,41.5,249,58.5,6,1.4,217,50.9,193,45.3,8,1.9,2,0.5,266,62.4,41,9.6,346,81.2,0.004694836,0.509389671,0.453051643,0.014084507,0.018779343,0.862163957,1,1,0,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,2
84M284,84,M,Manhattan,Harlem Children's Zone Promise Academy 1 Charter S,2017-18,1160,0,125,105,100,104,95,99,82,88,88,69,70,57,78,626,54,534,46,4,0.3,935,80.6,191,16.5,21,1.8,9,0.8,184,15.9,41,3.5,990,85.3,0.007758621,0.806034483,0.164655172,0.003448276,0.018103448,0.600700802,1,1,1,0,4978,60025,43171,2408,2946,113528,0.043848214,0.528724191,0.380267423,0.025949546,0.021210627,1.018224539,.,.,.,3
