song,week,total_week,cum_week,Performer
Sucker,21,0,0,
Sucker,22,0,0,
Sucker,23,0,0,
Sucker,24,0,0,
Sucker,25,0,0,
Sucker,26,0,0,
Sucker,27,0,0,
Sucker,28,0,0,
Sucker,29,0,0,
Suge,34,1,1,
Suge,17,0,0,
Suge,18,0,0,
Suge,19,0,0,
Suge,20,0,0,
Suge,21,0,0,
Suge,22,0,0,
Suge,23,0,0,
Suge,24,0,0,
Suge,25,0,0,
Suge,26,0,0,
Suge,27,0,0,
Suge,28,0,0,
Suge,29,0,0,
Suge,30,0,0,
Suge,31,0,0,
Suge,32,0,0,
Suge,33,0,0,
Sunflower (Spider-Man: Into The Spider-Verse),17,18,1,
Sunflower (Spider-Man: Into The Spider-Verse),18,18,2,
Sunflower (Spider-Man: Into The Spider-Verse),19,18,3,
Sunflower (Spider-Man: Into The Spider-Verse),20,18,4,
Sunflower (Spider-Man: Into The Spider-Verse),21,18,5,
Sunflower (Spider-Man: Into The Spider-Verse),22,18,6,
Sunflower (Spider-Man: Into The Spider-Verse),23,18,7,
Sunflower (Spider-Man: Into The Spider-Verse),24,18,8,
Sunflower (Spider-Man: Into The Spider-Verse),25,18,9,
Sunflower (Spider-Man: Into The Spider-Verse),26,18,10,
Sunflower (Spider-Man: Into The Spider-Verse),27,18,11,
Sunflower (Spider-Man: Into The Spider-Verse),28,18,12,
Sunflower (Spider-Man: Into The Spider-Verse),29,18,13,
Sunflower (Spider-Man: Into The Spider-Verse),30,18,14,
Sunflower (Spider-Man: Into The Spider-Verse),31,18,15,
Sunflower (Spider-Man: Into The Spider-Verse),32,18,16,
Sunflower (Spider-Man: Into The Spider-Verse),33,18,17,
Sunflower (Spider-Man: Into The Spider-Verse),34,18,18,
Sweet But Psycho,19,15,1,
Sweet But Psycho,20,15,2,
Sweet But Psycho,21,15,3,
Sweet But Psycho,22,15,4,
Sweet But Psycho,23,15,5,
Sweet But Psycho,24,15,6,
Sweet But Psycho,25,15,7,
Sweet But Psycho,26,15,8,
Sweet But Psycho,27,15,9,
Sweet But Psycho,28,15,10,
Sweet But Psycho,29,15,11,
Sweet But Psycho,30,15,12,
Sweet But Psycho,31,15,13,
Sweet But Psycho,32,15,14,
Sweet But Psycho,33,15,15,
Sweet But Psycho,17,0,0,
Sweet But Psycho,18,0,0,
Sweet But Psycho,34,0,0,
Talk,27,8,1,
Talk,28,8,2,
Talk,29,8,3,
Talk,30,8,4,
Talk,31,8,5,
Talk,32,8,6,
Talk,33,8,7,
Talk,34,8,8,
Talk,17,0,0,
Talk,18,0,0,
Talk,19,0,0,
Talk,20,0,0,
Talk,21,0,0,
Talk,22,0,0,
Talk,23,0,0,
Talk,24,0,0,
Talk,25,0,0,
Talk,26,0,0,
Talk You Out Of It,28,6,1,
Talk You Out Of It,29,6,2,
Talk You Out Of It,30,6,3,
Talk You Out Of It,31,6,4,
Talk You Out Of It,32,6,5,
Talk You Out Of It,33,6,6,
Talk You Out Of It,17,0,0,
Talk You Out Of It,18,0,0,
Talk You Out Of It,19,0,0,
Talk You Out Of It,20,0,0,
Talk You Out Of It,21,0,0,
Talk You Out Of It,22,0,0,
Talk You Out Of It,23,0,0,
Talk You Out Of It,24,0,0,
Talk You Out Of It,25,0,0,
Talk You Out Of It,26,0,0,
Talk You Out Of It,27,0,0,
Talk You Out Of It,34,0,0,
When The Party's Over,17,9,1,
When The Party's Over,18,9,2,
When The Party's Over,19,9,3,
When The Party's Over,20,9,4,
When The Party's Over,21,9,5,
When The Party's Over,22,9,6,
When The Party's Over,23,9,7,
When The Party's Over,24,9,8,
When The Party's Over,25,9,9,
When The Party's Over,26,0,0,
When The Party's Over,27,0,0,
When The Party's Over,28,0,0,
When The Party's Over,29,0,0,
When The Party's Over,30,0,0,
When The Party's Over,31,0,0,
When The Party's Over,32,0,0,
When The Party's Over,33,0,0,
When The Party's Over,34,0,0,
Whiskey Glasses,30,5,1,
Whiskey Glasses,31,5,2,
Whiskey Glasses,32,5,3,
Whiskey Glasses,33,5,4,
Whiskey Glasses,34,5,5,
Whiskey Glasses,17,0,0,
Whiskey Glasses,18,0,0,
Whiskey Glasses,19,0,0,
Whiskey Glasses,20,0,0,
Whiskey Glasses,21,0,0,
Whiskey Glasses,22,0,0,
Whiskey Glasses,23,0,0,
Whiskey Glasses,24,0,0,
Whiskey Glasses,25,0,0,
Whiskey Glasses,26,0,0,
Whiskey Glasses,27,0,0,
Whiskey Glasses,28,0,0,
Whiskey Glasses,29,0,0,
Without Me,17,18,1,
Without Me,18,18,2,
Without Me,19,18,3,
Without Me,20,18,4,
Without Me,21,18,5,
Without Me,22,18,6,
Without Me,23,18,7,
Without Me,24,18,8,
Without Me,25,18,9,
Without Me,26,18,10,
Without Me,27,18,11,
Without Me,28,18,12,
Without Me,29,18,13,
Without Me,30,18,14,
Without Me,31,18,15,
Without Me,32,18,16,
Without Me,33,18,17,
Without Me,34,18,18,
Worth It,28,5,1,
Worth It,29,5,2,
Worth It,30,5,3,
Worth It,31,5,4,
Worth It,32,5,5,
Worth It,17,0,0,
Worth It,18,0,0,
Worth It,19,0,0,
Worth It,20,0,0,
Worth It,21,0,0,
Worth It,22,0,0,
Worth It,23,0,0,
Worth It,24,0,0,
Worth It,25,0,0,
Worth It,26,0,0,
Worth It,27,0,0,
Worth It,28,0,0,
Worth It,33,0,0,
Worth It,34,0,0,
Wow.,17,0,0,
Wow.,18,0,0,
Wow.,19,0,0,
Wow.,20,15,1,
Wow.,21,15,2,
Wow.,22,15,3,
Wow.,23,15,4,
Wow.,24,15,5,
Wow.,25,15,6,
Wow.,26,15,7,
Wow.,27,15,8,
Wow.,28,15,9,
Wow.,29,15,10,
Wow.,30,15,11,
Wow.,31,15,12,
Wow.,32,15,13,
Wow.,33,15,14,
Wow.,34,15,15,
You Say,17,3,1,
You Say,18,3,2,
You Say,19,3,3,
You Say,20,0,0,
You Say,21,0,0,
You Say,22,0,0,
You Say,23,0,0,
You Say,24,0,0,
You Say,25,0,0,
You Say,26,0,0,
You Say,27,0,0,
You Say,28,0,0,
You Say,29,0,0,
You Say,30,0,0,
You Say,31,0,0,
You Say,32,0,0,
You Say,33,0,0,
You Say,34,0,0,
Youngblood,17,2,1,
Youngblood,18,2,2,
Youngblood,19,0,0,
Youngblood,20,0,0,
Youngblood,21,0,0,
Youngblood,22,0,0,
Youngblood,23,0,0,
Youngblood,24,0,0,
Youngblood,25,0,0,
Youngblood,26,0,0,
Youngblood,27,0,0,
Youngblood,28,0,0,
Youngblood,29,0,0,
Youngblood,30,0,0,
Youngblood,31,0,0,
Youngblood,32,0,0,
Youngblood,33,0,0,
Youngblood,34,0,0,
